Ticker,FromStockAnalysisKeywords,FromYahooSearchQueries,FromSeeds,FromYieldMaxNonSingleList,NameHint
JPO,True,False,False,False,YieldMax JP Option Income Strategy ETF
JULH,True,False,False,False,Innovator Premium Income 20 Barrier ETF - July
JULJ,True,False,False,False,Innovator Premium Income 30 Barrier ETF - July
KHPI,True,False,False,False,Kensington Hedged Premium Income ETF
KLIP,True,False,False,False,KraneShares KWEB Covered Call Strategy ETF
LAPR,True,False,False,False,Innovator Premium Income 15 Buffer ETF - April
LFGY,True,True,False,True,YieldMax Crypto Industry & Tech Portfolio Option Income ETF
LJAN,True,False,False,False,Innovator Premium Income 15 Buffer ETF - January
LJUL,True,False,False,False,Innovator Premium Income 15 Buffer ETF - July
LOCT,True,False,False,False,Innovator Premium Income 15 Buffer ETF - October
LQDW,True,False,False,False,iShares Investment Grade Corporate Bond BuyWrite Strategy ETF
MAGY,True,False,False,False,Roundhill Magnificent Seven Covered Call ETF
MARO,True,False,False,False,YieldMax MARA Option Income Strategy ETF
MINY,True,False,False,True,YieldMax Strategic Metals & Mining Portfolio Option Income ETF
MLPD,True,False,False,False,Global X MLP & Energy Infrastructure Covered Call ETF
MRNY,True,False,False,False,YieldMax MRNA Option Income Strategy ETF
MSFO,True,False,False,False,YieldMax MSFT Option Income Strategy ETF
MSTK,True,False,False,False,Tuttle Capital MSTR 0DTE Covered Call ETF
MSTY,True,False,False,False,YieldMax MSTR Option Income Strategy ETF
NBOS,True,False,True,False,Neuberger Option Strategy ETF
NDIV,True,False,False,False,Amplify Energy & Natural Resources Covered Call ETF
NFLY,True,False,False,False,YieldMax NFLX Option Income Strategy ETF
NUSI,False,False,True,False,
NVDY,True,False,False,False,YieldMax NVDA Option Income Strategy ETF
OARK,True,False,False,False,YieldMax Innovation Option Income Strategy ETF
OCTH,True,False,False,False,Innovator Premium Income 20 Barrier ETF - October
OCTJ,True,False,False,False,Innovator Premium Income 30 Barrier ETF - October
PAPI,True,True,True,False,Parametric Equity Premium Income ETF
PBP,True,False,True,False,Invesco S&P 500 BuyWrite ETF
PLTY,True,False,False,False,YieldMax PLTR Option Income Strategy ETF
PYPY,True,False,False,False,YieldMax PYPL Option Income Strategy ETF
QCLR,True,False,False,False,Global X NASDAQ 100 Collar 95-110 ETF
QDTE,True,False,True,False,Roundhill Innovation-100 0DTE Covered Call Strategy ETF
QDTY,True,False,False,False,YieldMax Nasdaq 100 0DTE Covered Call Strategy ETF
QQQI,False,False,True,False,NEOS Nasdaq 100 High Income ETF
QQQY,False,False,True,False,Defiance Nasdaq 100 Weekly Distribution ETF
QYLD,True,True,True,False,Global X NASDAQ 100 Covered Call ETF
QYLG,True,False,True,False,Global X Nasdaq 100 Covered Call & Growth ETF
RBLY,True,False,False,False,YieldMax RBLX Option Income Strategy ETF
RDTE,True,False,True,False,Roundhill Russell 2000 0DTE Covered Call Strategy ETF
RDTY,True,False,False,False,YieldMax R2000 0DTE Covered Strategy ETF
RDYY,True,False,False,False,YieldMax RDDT Option Income Strategy ETF
RNTY,True,False,False,True,YieldMax Target 12 Real Estate Option Income ETF
RYLD,True,True,True,False,Global X Russell 2000 Covered Call ETF
RYLG,True,False,False,False,Global X Russell 2000 Covered Call & Growth ETF
SBAR,True,True,True,False,Simplify Barrier Income ETF
SCEP,True,False,False,False,Sterling Capital Hedged Equity Premium Income ETF
SDTY,True,False,False,False,YieldMax S&P 500 0DTE Covered Call Strategy ETF
SEPI,True,False,False,False,Shelton Equity Premium Income ETF
SLJY,True,False,False,False,Amplify SILJ Junior Silver Miners Covered Call ETF
SLTY,True,False,False,True,YieldMax Ultra Short Option Income Strategy ETF
SLVO,True,False,False,False,"UBS AG ETRACS Silver Shares Covered Call ETNs due April 21, 2033 ETP 2022-21.04.33 on CS NQ Slv FLS106 Pr"
SMCY,True,False,False,False,YieldMax SMCI Option Income Strategy ETF
SNOY,True,False,False,False,YieldMax SNOW Option Income Strategy ETF
SOLM,True,False,False,False,Amplify Solana 3% Monthly Option Income ETF
SOXY,True,False,False,True,YieldMax Target 12 Semiconductor Option Income ETF
SPIN,True,True,False,False,State Street US Equity Premium Income ETF
SPUT,True,True,False,False,Innovator Daily PutWrite ETF
SPYI,False,False,True,False,NEOS S&P 500 High Income ETF
SPYT,False,False,True,False,Defiance S&P 500 Target Income ETF
SRHR,True,False,False,False,SRH REIT Covered Call ETF
TCAL,True,False,True,False,T. Rowe Price Capital Appreciation Premium Income ETF
TLTP,True,False,False,False,Amplify TLT U.S. Treasury 12% Option Income ETF
TLTW,True,False,False,False,iShares 20+ Year Treasury Bond BuyWrite Strategy ETF
TSLY,True,False,False,False,YieldMax TSLA Option Income Strategy ETF
TSMY,True,False,False,False,YieldMax TSM Option Income Strategy ETF
TYLG,True,False,False,False,Global X Information Technology Covered Call & Growth ETF
ULTI,True,False,False,False,REX IncomeMax Option Strategy ETF
ULTY,True,False,False,True,YieldMax Ultra Option Income Strategy ETF
USOI,True,False,False,False,"UBS AG ETRACS Crude Oil Shares Covered Call ETNs due April 24, 2037"
USOY,True,True,False,False,Defiance Oil Enhanced Options Income ETF
VEGA,True,True,False,False,AdvisorShares STAR Global Buy-Write ETF
WEEL,True,False,False,False,Peerless Option Income Wheel ETF
WNTR,True,False,False,False,YieldMax MSTR Short Option Income Strategy ETF
WTPI,True,False,False,False,WisdomTree Equity Premium Income Fund
XCLR,True,False,False,False,Global X S&P 500 Collar 95-110 ETF
XDTE,True,False,True,False,Roundhill S&P 500 0DTE Covered Call Strategy ETF
XIDE,True,False,False,False,FT Vest U.S. Equity Buffer & Premium Income ETF - December
XIJN,True,False,False,False,FT Vest U.S. Equity Buffer & Premium Income ETF - June
XIMR,True,False,False,False,FT Vest U.S. Equity Buffer & Premium Income ETF - March
XISE,True,False,False,False,FT Vest U.S. Equity Buffer & Premium Income ETF - September
XLBI,True,False,False,False,State Street Materials Select Sector SPDR Premium Income ETF
XLCI,True,False,False,False,State Street Communication Services Select Sector SPDR Premium Income ETF
XLEI,True,False,False,False,State Street Energy Select Sector SPDR Premium Income ETF
XLFI,True,True,False,False,State Street Financial Select Sector SPDR Premium Income ETF
XLII,True,False,False,False,State Street Industrial Select Sector SPDR Premium Income ETF
XLKI,True,False,False,False,State Street Technology Select Sector SPDR Premium Income ETF
XLRI,True,True,False,False,State Street Real Estate Select Sector SPDR Premium Income ETF
XLSI,True,False,False,False,State Street Consumer Staples Select Sector SPDR Premium Income ETF
XLUI,True,False,False,False,State Street Utilities Select Sector SPDR Premium Income ETF
XLVI,True,False,False,False,State Street Health Care Select Sector SPDR Premium Income ETF
XLYI,True,False,False,False,State Street Consumer Discretionary Select Sector SPDR Premium Income ETF
XOMO,True,False,False,False,YieldMax XOM Option Income Strategy ETF
XRPM,True,False,False,False,Amplify XRP 3% Monthly Premium Income ETF
XYLD,True,True,True,False,Global X S&P 500 Covered Call ETF
XYLG,True,False,True,False,Global X S&P 500 Covered Call & Growth ETF
XYZY,True,False,False,False,YieldMax XYZ Option Income Strategy ETF
YBIT,True,False,False,False,YieldMax Bitcoin Option Income Strategy ETF
YBMN,True,False,False,False,Defiance BMNR Option Income ETF
YBTC,True,False,False,False,Roundhill Bitcoin Covered Call Strategy ETF
YETH,True,False,False,False,Roundhill Ether Covered Call Strategy ETF
YMAG,True,True,False,True,YieldMax Magnificent 7 Fund of Option Income ETFs
YMAX,True,True,False,True,YieldMax Universe Fund of Option Income ETFs
YQQQ,True,False,False,False,YieldMax Short N100 Option Income Strategy ETF
ZWC.TO,False,True,False,False,BMO CDN HIGH DIV COVERED CALL E
