Ticker,Reason,Name
NFLY,likely single-stock option ETF,YieldMax NFLX Option Income Strategy ETF
NVDY,likely single-stock option ETF,YieldMax NVDA Option Income Strategy ETF
OARK,likely single-stock option ETF,YieldMax Innovation Option Income Strategy ETF
PLTY,likely single-stock option ETF,YieldMax PLTR Option Income Strategy ETF
PYPY,likely single-stock option ETF,Yieldmax PYPL Option Income Strategy ETF
QDTY,likely single-stock option ETF,YieldMax Nasdaq 100 0DTE Covered Call Strategy ETF
QQQY,not in option/derivative-income area,Defiance Nasdaq 100 Target 30 Weekly Distribution ETF
RBLY,quoteType=EQUITY,YieldMax(TM) RBLX Option Income Strategy ETF
RDTY,likely single-stock option ETF,YieldMax Russell 2000 0DTE Covered Call Strategy ETF
RDYY,quoteType=EQUITY,YieldMax RDDT Option Income Str
SDTY,likely single-stock option ETF,YieldMax S&P 500 0DTE Covered Call Strategy ETF
SLJY,quoteType=EQUITY,Amplify SILJ Junior Silver Miners Covered Call ETF
SLTY,quoteType=EQUITY,YieldmaxTM Ultra Short Option Income Strategy ETF
SLVO,ETN/Note instrument (not ETF),UBS ETRACS Silver Shares Covered Call ETN
SMCY,likely single-stock option ETF,YieldMax SMCI Option Income Str
SNOY,likely single-stock option ETF,YieldMax SNOW Option Income Strategy ETF
SPYT,not in option/derivative-income area,Defiance S&P 500 Target Income 
TSLY,likely single-stock option ETF,YieldMax TSLA Option Income Strategy ETF
TSMY,likely single-stock option ETF,YieldMax TSM Option Income Strategy ETF
USOI,ETN/Note instrument (not ETF),UBS ETRACS Crude Oil Shares Covered Call ETN
WNTR,likely single-stock option ETF,YieldMax MSTR Short Option Income Strategy ETF
XLBI,quoteType=EQUITY,The Materials Select Sector SPDR Premium Income Fund
XLCI,quoteType=EQUITY,State Street Communication Services Select Sector SPDR Premium Income ETF
XLEI,quoteType=EQUITY,State Street Energy Select Sector SPDR Premium Income ETF
XLFI,quoteType=EQUITY,State Street Financial Select Sector SPDR Premium Income ETF
XLII,quoteType=EQUITY,State Street Industrial Select Sector SPDR Premium Income ETF
XLKI,quoteType=EQUITY,State Street Technology Select Sector SPDR Premium Income ETF
XLRI,quoteType=EQUITY,State Street Real Estate Select Sector SPDR Premium Income ETF
XLSI,quoteType=EQUITY,State Street Consumer Staples Select Sector SPDR Premium Income ETF
XLUI,quoteType=EQUITY,State Street Utilities Select Sector SPDR Premium Income ETF
XLVI,quoteType=EQUITY,State Street Health Care Select Sector SPDR Premium Income ETF
XLYI,quoteType=EQUITY,State Street Consumer Discretionary Select Sector SPDR Premium Income ETF
XOMO,likely single-stock option ETF,Yieldmax XOM Option Income Strategy ETF
XYZY,likely single-stock option ETF,YieldMax XYZ Option Income Strategy ETF
YBIT,likely single-stock option ETF,YieldMax Bitcoin Option Income Strategy ETF
YQQQ,likely single-stock option ETF,YieldMax Short N100 Option Income Strategy ETF
ZWC.TO,non-US-like exchange=TOR,BMO CA High Dividend Covered Call ETF
